发文时间,标题,发文位置,阅读量,在看数,点赞数,转发数,留言数,链接,封面,类别,图片/视频引用（次）,字数,数据引用（次）,描述疾病原理（是/否）,本地相关性,主要医护职称,故事/案例引用（个）
2025-07-04 18:32:04,每晚戴耳机超4小时，35岁女士听力下降！专家建议：戴耳机要遵循“两个60”原则,1,6269,4,64,659,2,http://mp.weixin.qq.com/s?__biz=MzA4OTExMjQ5OQ==&mid=2649578145&idx=1&sn=035f0c36e58e43d8f1d00f8a74d812c0&chksm=893f18d02dcec2778165e9396c285fc3747bb916725032ae28c1f8df4d53472c50e315a3ac33&scene=126&sessionid=0#rd,https://mmecoa.qpic.cn/sz_mmecoa_jpg/yJrZiagSjhS8bmBVGib0DI7PC1dG0ESmsBwrnloKq1CDpkYwbjT1YPNlyyCib6C9rPXbfzKloVjkAsQGmotF1nzJw/640?wxtype=jpeg&wxfrom=0,健康科普类,,,,,,,
2025-06-20 19:05:12,多学科联手，ECMO技术连续救治多例急性肺栓塞患者,1,2853,1,57,21,1,http://mp.weixin.qq.com/s?__biz=MzA4OTExMjQ5OQ==&mid=2649578002&idx=1&sn=aa0e7e444e7ef981deef8f84f3f74627&chksm=89f7fa410ccc6ab00acf840c4f2b7477348685064e09b7162ec0e0a4af9a322299dd275d602f&scene=126&sessionid=0#rd,https://mmecoa.qpic.cn/sz_mmecoa_jpg/yJrZiagSjhS927C3TuVQH3iaWUZOk3zLibBsYPmCtpmJBjkx6RhrT1eBhicRrPMMlQOZ3UDHGicM5yggRudrkyEUaRw/640?wxtype=jpeg&wxfrom=0,健康科普类,,,,,,,
2025-06-13 18:32:31,舟山医院列入全市抗蛇毒血清储备医疗机构名录，专家提醒夏季蛇出没频繁，被咬伤急救知识需牢记,1,7893,17,115,271,1,http://mp.weixin.qq.com/s?__biz=MzA4OTExMjQ5OQ==&mid=2649577812&idx=1&sn=223e656209b566a24dfecea65d6f06f2&chksm=89dc7c2a6a16cb5ebe7100785fc15472bdb1d1bab69a4817fbd8a5f564ed8e564e515f5fd8da&scene=126&sessionid=0#rd,https://mmecoa.qpic.cn/sz_mmecoa_jpg/yJrZiagSjhS96ZLxIODLefTSI2ADqta0XQ6NicPONYyp3TtrZD6UN0YG0USt4IJ0Zbo7xEtFp3kFXdPibXibo5iarmQ/640?wxtype=jpeg&wxfrom=0,健康科普类,,,,,,,
2025-06-06 18:30:00,名医名科丨诊疗新体验！无痛微创，让患者轻松告别乳房结节,1,4282,9,31,60,5,http://mp.weixin.qq.com/s?__biz=MzA4OTExMjQ5OQ==&mid=2649577714&idx=1&sn=e1c970ae8e378ba5a9914d6ad354adcb&chksm=894580971650e57d1bc3e280ef84ae5de3e257779b2628ac188f5f0a8ac25982629de67865d6&scene=126&sessionid=0#rd,https://mmecoa.qpic.cn/sz_mmecoa_jpg/yJrZiagSjhS9U2DOMgjqZrPTpBTgltWPo3HDz5I7FB5tWqZopLI8TmzRs7QZhdlpt4zkGy25Cfq2NS5EyhVWcaA/640?wxtype=jpeg&wxfrom=0,健康科普类,,,,,,,
2025-05-30 20:40:05,名医名科|仁心仁术显担当，妙手回春铸品牌，胸心外科让每一个肺结节都有“答案”,1,5798,11,32,57,1,http://mp.weixin.qq.com/s?__biz=MzA4OTExMjQ5OQ==&mid=2649577559&idx=1&sn=f5783a3d3013877ddb2c9ba9b5cd1a5b&chksm=892ddb833d49fc026a98a72023fe7c0b3f6824eb2427a2f5afd5040b9951e7502ef32d919643&scene=126&sessionid=0#rd,https://mmecoa.qpic.cn/sz_mmecoa_jpg/yJrZiagSjhS9lxHnEGeHGqY5KkE8NL2MXmt8IzpKZ3qbnAYejJjDzfuQNibP0528gnlLPJLEYWVckOibAeoRBD7tQ/640?wxtype=jpeg&wxfrom=0,健康科普类,,,,,,,
2025-05-23 18:31:34,半小时室颤10余次！六旬老伯突发心梗，舟山医院多科联动上演黄金救援,1,6128,10,27,57,6,http://mp.weixin.qq.com/s?__biz=MzA4OTExMjQ5OQ==&mid=2649577347&idx=1&sn=ce025bca3a941fa65f4a1568110a00c4&chksm=89830a2b851cc8727efbbe38a0a6f21799d3c96fb59519e62fac5ecef0cea223383d7bec174f&scene=126&sessionid=0#rd,https://mmecoa.qpic.cn/sz_mmecoa_jpg/yJrZiagSjhS8UfVlVrmGOOLw4F7SQHxDc5OxgSPTVHJgJeXmrmbGj2BaQTicCS7micBicbOH9bkQh0lQQow5O92Vicg/640?wxtype=jpeg&wxfrom=0,健康科普类,,,,,,,
2025-05-09 18:32:35,跨越国界的生命守护：印度患者下肢深静脉血栓，紧急救治获成功，一年的全程守护情暖异国患者,1,3049,12,24,42,1,http://mp.weixin.qq.com/s?__biz=MzA4OTExMjQ5OQ==&mid=2649576835&idx=1&sn=931368a66802f16e2c6f27d79a6290a1&chksm=894d460df253f6a23582c2a4e75af1e67ba69f83dd7ffbf00efbaec47ca4e2f4a98aa88555ea&scene=126&sessionid=0#rd,https://mmecoa.qpic.cn/sz_mmecoa_jpg/yJrZiagSjhSibnBkaY0VicKZgVXxNfmDl2cqNVibPOBXKHLk5iaWSzKIOicIeia00hZHOOA2zmvVAhLbQdM2wcniaxGBXw/640?wxtype=jpeg&wxfrom=0,健康科普类,,,,,,,
2025-04-25 18:30:58,名医名科丨无创治疗焕新生——ERCP技术助鲐背老人告别胆道梗阻,1,4008,10,18,75,4,http://mp.weixin.qq.com/s?__biz=MzA4OTExMjQ5OQ==&mid=2649576674&idx=1&sn=a0a6b8d9d98557ac7fd8b46a2dad40ec&chksm=89319b696b7b3735a7a39b7bda283a64256189fdf6c376fabc0426a09dc4752e8f282c96b1c9&scene=126&sessionid=0#rd,https://mmecoa.qpic.cn/sz_mmecoa_jpg/yJrZiagSjhSiccAagVSVrVoMnuImrErzu7QGlIN2bXVru4ImQtTRicRaJZ1kVw5a9xbmOb9g0qQZlvb5iaKqemyruQ/640?wxtype=jpeg&wxfrom=0,健康科普类,,,,,,,
2025-04-18 18:31:28,名医名科丨多学科协作，成功挽救食道癌术后颈总动脉破裂患者,1,2890,0,20,20,5,http://mp.weixin.qq.com/s?__biz=MzA4OTExMjQ5OQ==&mid=2649576560&idx=1&sn=0a914526f9fa603d7b77b38b288c6da1&chksm=890b6eb25520eae1dcc7c3b7ca8624e62d8db66c943475cc923e440b9784d01ba7cd478ae316&scene=126&sessionid=0#rd,https://mmecoa.qpic.cn/sz_mmecoa_jpg/yJrZiagSjhSibibelCXCkEjshQCF1yfbSbvKGcibyPibMPdWneFptSiaV4TGxZCQsPd0EoApLKRZJme66Vs1dHpbjp2w/640?wxtype=jpeg&wxfrom=0,健康科普类,,,,,,,
2025-04-11 18:32:29,名医名科丨全身僵直，感觉石化了，舟山医院骨科为严重强直性脊柱炎患者成功实施髋关节置换手术，助其重启“行走”人生,1,6541,7,23,55,0,http://mp.weixin.qq.com/s?__biz=MzA4OTExMjQ5OQ==&mid=2649576483&idx=1&sn=23e0c07f176de4540bc02a5c8e5372fb&chksm=8931258c0d2037e27f616a61f1c892b0c634c10d0e27b6e1bb118b15121a919bec9dbeedcead&scene=126&sessionid=0#rd,https://mmecoa.qpic.cn/sz_mmecoa_jpg/yJrZiagSjhS8FkxYeHGic0IicpQPDVRgquxWWsFnGzyib54p7uAEuj5Q9M21zVFOYuUwbY7ET16nMn5Imk2icR2m6vQ/640?wxtype=jpeg&wxfrom=0,健康科普类,,,,,,,
2025-04-03 18:31:50,名医名科丨外地游客突发肺栓塞，生死一线，舟山医院紧急抢救，将其从“鬼门关”拉了回来,1,6470,17,36,75,0,http://mp.weixin.qq.com/s?__biz=MzA4OTExMjQ5OQ==&mid=2649576356&idx=1&sn=52321df6743928b20164785a0393d4e2&chksm=89eb49b12656871c53a7c94dd341952624a4d189a49fbccbf378d55732088bd4cfd43c2c3487&scene=126&sessionid=0#rd,https://mmecoa.qpic.cn/sz_mmecoa_jpg/yJrZiagSjhSibP4fxrnXRerWUsGyXAHZfoXFUprep2mSJyHOibFvjtjeyatPYXPCNmNNRnZHXpictSUSsibkqib1QzLA/640?wxtype=jpeg&wxfrom=0,健康科普类,,,,,,,
